0.2416	3.0559	0	0	0.2416	3.0559	-0.0118	2.9997	-0.0785	0.9969
-0.143187	3.83387	-0.480924	0.972347	-0.1432	3.8339	-0.1797	3.7797	-0.3239	0.9461
-0.428364	4.49698	-0.319278	0.78601	-0.4276	4.4961	-0.5364	4.4935	-0.549	0.8358
-1.01241	5.1255	-0.937684	0.785475	-1.0167	5.1255	-1.0593	5.0961	-0.7396	0.673
-1.60516	5.62791	-0.63209	0.540882	-1.6029	5.6261	-1.7157	5.5498	-0.8838	0.4679
-2.35797	5.83029	-1.11555	0.0902927	-2.3616	5.8269	-2.4643	5.8259	-0.9724	0.2334
-3.26843	6.05918	-1.15088	0.397346	-3.2687	6.0615	-3.258	5.9073	-0.9999	-0.0157
-4.06849	5.57556	-0.914299	-1.17428	-4.0667	5.5637	-4.0471	5.7886	-0.9646	-0.2639
-4.8808	5.21237	-1.07291	-0.0442407	-4.882	5.2209	-4.7818	5.4775	-0.8686	-0.4955
-5.27004	5.07087	-0.152967	-0.252331	-5.2631	5.0693	-5.4161	4.9934	-0.7181	-0.6959
-5.93901	4.24563	-1.22491	-1.47487	-5.9471	4.2364	-5.9101	4.3668	-0.5225	-0.8526
-6.26646	3.55013	0.0547028	-0.524892	-6.2568	3.5573	-6.2327	3.6371	-0.2941	-0.9558
-6.36647	2.76284	-0.22726	-1.24538	-6.3686	2.7574	-6.3637	2.85	-0.0471	-0.9989
-6.21878	1.8613	0.418945	-1.05954	-6.2139	1.8627	-6.2949	2.055	0.2028	-0.9792
-6.16484	1.40047	-0.132562	-0.300947	-6.169	1.4062	-6.0305	1.3022	0.4399	-0.898
-5.56771	0.695572	1.24648	-1.21121	-5.5573	0.6887	-5.5872	0.6388	0.6494	-0.7604
-4.77359	0.102337	0.848233	-0.474336	-4.7766	0.1079	-4.9928	0.1064	0.8181	-0.575
-4.39328	-0.180235	0.263264	-0.284305	-4.3977	-0.1788	-4.2848	-0.2614	0.9354	-0.3535
-3.47123	-0.326403	1.65851	-0.124911	-3.4607	-0.3252	-3.5075	-0.4416	0.994	-0.1098
-2.44998	-0.673934	1.05927	-0.610499	-2.4545	-0.6776	-2.7098	-0.4228	0.99	0.1409
-1.80894	-0.163685	0.654516	1.34801	-1.812	-0.1489	-1.9419	-0.2062	0.9239	0.3827
-1.10891	0.112379	1.0005	-0.225518	-1.1063	0.1005	-1.2519	0.1946	0.7997	0.6004
-0.926747	0.589269	-0.211961	1.06356	-0.9359	0.599	-0.6833	0.7543	0.6253	0.7804
-0.296836	1.5889	1.35595	1.35534	-0.285	1.5911	-0.2717	1.4379	0.4115	0.9114
0.0455901	1.9301	-0.099885	-0.101938	0.0346	1.9191	-0.0431	2.2024	0.172	0.9851
0.0452224	2.7607	0.0561064	1.68693	0.0464	2.7742	0.0039	2.9999	0.0471	0.9989
0.191105	3.97165	0.254178	1.41514	0.1926	3.9696	0.1473	3.7848	0.2941	0.9558
0.372327	4.52694	0.210798	0.283896	0.372	4.5184	0.4813	4.5094	0.5225	0.8526
1.14782	5.07032	1.40093	0.904134	1.1568	5.075	0.9851	5.1282	0.7181	0.6959
1.48884	5.61238	-0.128218	0.54869	1.4773	5.6097	1.6269	5.6023	0.8686	0.4954
2.61057	6.03179	2.27284	0.510357	2.6287	6.0315	2.3664	5.9018	0.9646	0.2638
3.08401	5.81082	-0.364602	-0.723721	3.0641	5.8015	3.1572	6.008	0.9999	0.0157
3.95114	5.89045	1.90802	0.56792	3.9683	5.9002	3.9496	5.9142	0.9724	-0.2335
4.7072	5.44147	0.397228	-1.20362	4.6958	5.4281	4.6938	5.6263	0.8838	-0.468
5.23263	5.10867	0.804441	0.0320963	5.2357	5.118	5.343	5.1624	0.7396	-0.673
5.78692	4.5064	0.629393	-1.19942	5.7856	4.4971	5.8564	4.5516	0.549	-0.8358
6.06602	3.88233	0.189281	-0.541504	6.0627	3.8873	6.2018	3.8324	0.3239	-0.9461
6.21513	3.13249	0.184745	-1.16249	6.2151	3.1278	6.3574	3.0498	0.0784	-0.9969
6.22691	1.94679	-0.0820054	-1.66398	6.2249	1.943	6.3136	2.2531	-0.1719	-0.9851
6.08789	1.56544	-0.225998	0.198801	6.0868	1.5795	6.073	1.4923	-0.4115	-0.9114
5.68854	0.818907	-0.654616	-1.57717	5.6853	0.8055	5.6507	0.8153	-0.6253	-0.7804
4.85321	0.407511	-1.26577	0.0904848	4.8486	0.4201	5.0734	0.2645	-0.7997	-0.6004
4.52999	-0.225162	0.086248	-1.29225	4.5402	-0.2356	4.3772	-0.1253	-0.9239	-0.3827
3.81678	-0.189237	-1.4478	0.805654	3.8052	-0.1734	3.606	-0.3298	-0.99	-0.1409
2.90702	0.0476352	-0.960492	0.00618495	2.9107	0.0416	2.8081	-0.3361	-0.994	0.1097
2.07819	-0.154731	-1.07901	-0.400391	2.0773	-0.1578	2.0337	-0.1437	-0.9354	0.3535
1.48205	0.056136	-0.555263	0.641338	1.486	0.064	1.3315	0.2352	-0.8181	0.575
0.475919	0.800575	-1.65727	1.09509	0.4676	0.804	0.7456	0.7768	-0.6494	0.7604
0.138763	1.59619	0.281653	0.937305	0.1534	1.595	0.3128	1.4471	-0.4399	0.898
0.129276	2.47223	-0.178846	1.1848	0.1258	2.4741	0.0603	2.204	-0.2028	0.9792
